# NOBURST: filename, fraction of spiny stellate cells that did not burst
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_30/data_20120430_112240_16481.h5 , 0.975
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_30/data_20120430_112233_16317.h5 , 0.966666666667
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_18/data_20120118_142820_7865.h5 , 0.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_10_14/data_20121014_184919_28619.h5 , 0.225
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_10/data_20120210_153833_7522.h5 , 0.995833333333
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_10/data_20120210_153047_7156.h5 , 0.995833333333
/data/subha/rsync_ghevar_cortical_data_clone/2012_08_25/data_20120825_154857_25535.h5 , 0.0916666666667
/data/subha/rsync_ghevar_cortical_data_clone/2012_09_04/data_20120904_080805_15393.h5 , 0.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_07/data_20121107_100729_29479.h5 , 0.133333333333
/data/subha/rsync_ghevar_cortical_data_clone/2012_09_29/data_20120929_184651_17981.h5 , 0.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_10_03/data_20121003_091501_19886.h5 , 0.0833333333333
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_16/data_20120216_172956_12356.h5 , 0.920833333333
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_12/data_20121112_112211_685.h5 , 0.154166666667
/data/subha/rsync_ghevar_cortical_data_clone/2012_10_06/data_20121006_081815_23857.h5 , 0.0541666666667
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_19/data_20120119_201036_10692.h5 , 0.979166666667
/data/subha/rsync_ghevar_cortical_data_clone/2012_08_27/data_20120827_165508_24271.h5 , 0.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_05_03/data_20120503_093603_26726.h5 , 0.997
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_26/data_20120426_142300_7898.h5 , 0.85
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_26/data_20120426_142251_7866.h5 , 0.983333333333
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_26/data_20120426_132826_7763.h5 , 0.9875
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_26/data_20120426_142250_7843.h5 , 0.991666666667
/data/subha/rsync_ghevar_cortical_data_clone/2012_08_29/data_20120829_121324_20182.h5 , 0.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_05_22/data_20120522_152734_10973.h5 , 0.383333333333
/data/subha/rsync_ghevar_cortical_data_clone/2012_10_12/data_20121012_140308_27319.h5 , 0.075
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_17/data_20120117_114805_6302.h5 , 0.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_01/data_20120201_143411_29609.h5 , 1.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_01/data_20120201_204744_29839.h5 , 0.995833333333
/data/subha/rsync_ghevar_cortical_data_clone/2012_09_25/data_20120925_140523_15171.h5 , 0.0416666666667
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_09/data_20120109_112852_22086.h5 , 1.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_11/data_20120111_135144_30762.h5 , 1.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_11/data_20120111_135100_30693.h5 , 1.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_06_23/data_20120623_153426_27376.h5 , 0.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_06_23/data_20120623_153426_27377.h5 , 0.0
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_08/data_20121108_210758_30357.h5 , 0.120833333333
