file,simtime,bgcells,bgstims,SpinyStellate,DeepBasket,DeepLTS,DeepAxoaxonic,SupPyrRS,SupPyrFRB,SupLTS,SupBasket,SupAxoaxonic,TCR,nRT,TuftedIB,TuftedRS,NontuftedRS
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_09/data_20120309_092324_5012.h5,10.0,20,1,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_09/data_20120309_092344_5040.h5,10.0,20,1,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_05_10/data_20120510_171659_3930.h5,10.0,10,7,100,10,10,10,0,0,0,0,0,10,10,0,0,50
/data/subha/rsync_ghevar_cortical_data_clone/2012_05_10/data_20120510_173715_4036.h5,10.0,10,7,100,10,10,10,0,0,0,0,0,10,10,0,0,50
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_18/data_20121118_132702_5610.h5,20.0,5,18,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_05_09/data_20120509_184603_2179.h5,10.0,10,7,100,10,10,10,0,0,0,0,0,10,0,0,0,50
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_24/data_20120424_145719_7507.h5,10.0,10,7,24,10,10,10,0,0,0,0,0,10,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_09_22/data_20120922_195344_13808.h5,20.0,5,15,240,30,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_09_19/data_20120919_172536_12276.h5,20.0,5,16,240,30,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_09_28/data_20120928_095506_16949.h5,20.0,5,16,240,30,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_12_30/data_20121230_142445_29596.h5,20.0,0,15,240,0,0,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_12_18/data_20121218_090355_29114.h5,20.0,15,15,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_03/data_20120203_144712_31468.h5,10.0,10,30,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_03/data_20120203_144711_31441.h5,10.0,10,30,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_03/data_20120203_144709_31418.h5,10.0,10,30,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_05_01/data_20120501_163950_25700.h5,10.0,20,7,1000,100,100,100,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_13/data_20120113_170727_32728.h5,5.0,50,14,240,0,0,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_16/data_20121116_091100_3774.h5,20.0,5,15,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_10/data_20120410_092102_29305.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_10/data_20120410_092059_29226.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_10/data_20120410_092104_29340.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_12_08/data_20121208_105807_15611.h5,20.0,15,17,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_03_25/data_20130325_201502_5406.h5,20.0,5,99,240,10,10,10,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_03_21/data_20130321_140355_4856.h5,20.0,5,9,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_14/data_20120114_120027_996.h5,5.0,50,14,240,0,0,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_01_10/data_20130110_155030_24082.h5,20.0,15,13,240,0,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_29/data_20120129_115942_22585.h5,5.0,20,35,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_29/data_20120129_175541_22810.h5,5.0,20,35,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_29/data_20120129_175542_22835.h5,5.0,20,35,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_29/data_20120129_175540_22787.h5,5.0,20,35,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_29/data_20120129_175534_22710.h5,5.0,20,35,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_29/data_20120129_175538_22760.h5,5.0,20,35,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_29/data_20120129_175536_22733.h5,5.0,20,35,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_29/data_20120129_175543_22839.h5,5.0,20,35,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_12_05/data_20121205_165444_16910.h5,20.0,10,16,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_20/data_20121120_090612_6590.h5,20.0,5,12,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_01_23/data_20130123_091433_23206.h5,20.0,20,15,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_08_31/data_20120831_132533_9688.h5,20.0,5,13,240,0,60,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_02_14/data_20130214_154452_15124.h5,0.1,5,0,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_22/data_20121122_145449_8016.h5,20.0,5,13,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_07_06/data_20120706_010425_2294.h5,55.0,5,39,240,10,0,0,100,5,9,9,9,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_07_06/data_20120706_010425_2293.h5,55.0,5,39,240,10,0,0,100,5,9,9,9,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_02_12/data_20130212_165823_12549.h5,0.1,5,0,240,100,100,100,1000,50,90,90,90,100,100,800,200,500
/data/subha/rsync_ghevar_cortical_data_clone/2013_03_27/data_20130327_092801_6262.h5,20.0,5,99,240,10,10,10,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_03_13/data_20130313_223752_9754.h5,20.0,5,8,240,30,10,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_01_28/data_20130128_230854_32444.h5,20.0,20,15,240,60,30,0,0,0,0,0,0,100,0,0,0,0
